id_powerplant,name_powerplant,gross_cap_ele,ini_cap_ele,gross_cap_th,name_status,name_technology,name_subtechnology,start_year,latitude,longitude,exact_coordinates,name_region_L2,NUTS2_code,name_region_L1,NUTS1_code,name_country,name_continent,max_well_depth,min_temp,max_temp,min_flow_rate,max_flow_rate,no_units,name_geothermal_area,name_turbine_type,turbine_man,name_owner,name_operator
51,"Makban C",110,110,110,"in operation","Geothermal energy","Geothermal power",1984,14.0881,121.228,1,NULL,NULL,Laguna,NULL,Philippines,Asia,900,345,345,NULL,NULL,1,Makban,"Single flash","Mitsubishi Group",NULL,"Chevron Geothermal Philippines"
52,"Makban D",40,40,40,"in operation","Geothermal energy","Geothermal power",1995,14.0881,121.228,1,NULL,NULL,Laguna,NULL,Philippines,Asia,900,345,345,NULL,NULL,1,Makban,"Single flash","Mitsubishi Group",NULL,"Chevron Geothermal Philippines"
53,"Makban E",40,40,40,"in operation","Geothermal energy","Geothermal power",1995,14.0903,121.213,1,NULL,NULL,Laguna,NULL,Philippines,Asia,900,345,345,NULL,NULL,2,Makban,"Single flash","Mitsubishi Group",NULL,"Chevron Geothermal Philippines"
54,Maibarara,20,20,NULL,"in operation","Geothermal energy","Geothermal power",2014,14.6092,121.022,1,NULL,NULL,Batangas,NULL,Philippines,Asia,NULL,NULL,NULL,NULL,NULL,1,Maibarara,"Single flash","Fuji Electric Co. Ltd.","Maibarara Geothermal","Maibarara Geothermal"
55,Yangbajain,26.18,26.18,NULL,"in operation","Geothermal energy","Geothermal power",1977,30.0878,90.5406,0,NULL,NULL,"Tibet Autonomous Region",NULL,China,Asia,NULL,125,125,NULL,NULL,1,Yangbajain,"Double flash",NULL,"Electric Power Tibet",NULL
56,Fengshun,0.3,0.3,NULL,"in operation","Geothermal energy","Geothermal power",1971,23.511,114.871,0,NULL,NULL,"Guangdong Province",NULL,China,Asia,NULL,NULL,NULL,NULL,NULL,1,NULL,"Single flash",NULL,NULL,NULL
59,"Liubei Oil Field",0.4,0.4,NULL,"in operation","Geothermal energy","Geothermal power",2011,38.6576,116.094,0,NULL,NULL,"Hebei Province",NULL,China,Asia,NULL,NULL,NULL,NULL,NULL,1,NULL,ORC,NULL,NULL,NULL
60,Yangyi,0.9,0.9,NULL,"in operation","Geothermal energy","Geothermal power",2012,30.0999,90.5354,0,NULL,NULL,"Tibet Autonomous Region",NULL,China,Asia,NULL,NULL,NULL,NULL,NULL,1,Yangyi,ORC,NULL,"Jianxi Huadian Electric",NULL
61,Pauzhetskaya,8,14.5,NULL,"in operation","Geothermal energy","Geothermal power",1966,51.9133,157.352,0,NULL,NULL,"Kamchatka ",NULL,Russia,Europe,NULL,190,190,24,26,1,Pauzhetskaya,"Single flash",NULL,Kamchatskburgeotermiya,NULL
62,Verkhne-Mutnovskaya,12,12,NULL,"in operation","Geothermal energy","Geothermal power",1999,52.4917,158.246,0,NULL,NULL,"Kamchatka ",NULL,Russia,Europe,NULL,NULL,NULL,8,NULL,1,Mutnovskaya,"Single flash",NULL,"Experimental-Industrial Verkhne-Mutnovskaya GeoPP",NULL
63,Mutnovskaya,50,50,NULL,"in operation","Geothermal energy","Geothermal power",2002,52.5364,158.203,0,NULL,NULL,"Kamchatka ",NULL,Russia,Europe,NULL,250,300,45,NULL,1,Mutnovskaya,"Single flash",NULL,"SC Geoterm",NULL
64,Mendeleevskaya,1.8,1.8,NULL,"in operation","Geothermal energy","Geothermal power",2007,44.0678,145.861,0,NULL,NULL,Sakhalin,NULL,Russia,Europe,NULL,NULL,NULL,NULL,NULL,3,Mendelevskaya,"Single flash",NULL,"Ministry of Natural Resources of Russia",NULL
65,Okeanskaya,3.6,3.6,NULL,"in operation","Geothermal energy","Geothermal power",2007,45.9767,150.024,0,NULL,NULL,Sakhalin,NULL,Russia,Europe,NULL,NULL,NULL,NULL,NULL,2,Okeanskaya,"Single flash",NULL,"Ministry of Natural Resources of Russia",NULL
66,Lihir,50,56,NULL,"in operation","Geothermal energy","Geothermal power",2003,-3.1244,152.646,1,NULL,NULL,"New Ireland",NULL,"Papua New Guinea",Oceania,NULL,NULL,NULL,NULL,NULL,1,Lihir,"Single flash",NULL,"Lihir Gold","Lihir Gold"
67,Mori,50,50,NULL,"in operation","Geothermal energy","Geothermal power",1982,42.1331,140.455,1,NULL,NULL,Hokkaido,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,2,Mori,"Double flash",NULL,"Hokkaido Electric Power ","Hokkaido Electric Power "
68,Abo-tunnel,0.003,0.003,NULL,"in operation","Geothermal energy","Geothermal power",2013,36.1934,137.57,0,NULL,NULL,Nagano,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,NULL,ORC,NULL,NULL,NULL
69,"Yumura Spring",0.03,0.03,NULL,"in operation","Geothermal energy","Geothermal power",2014,35.5552,134.488,0,NULL,NULL,Hyogo,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,NULL,ORC,NULL,NULL,NULL
70,Hagenoyu,2,2,NULL,"in operation","Geothermal energy","Geothermal power",2014,33.1542,131.142,0,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,2,NULL,ORC,NULL,NULL,NULL
71,"Shichimi Spring",0.02,0.02,NULL,"in operation","Geothermal energy","Geothermal power",2014,36.6596,138.474,0,NULL,NULL,Nagano,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,2,NULL,ORC,NULL,NULL,NULL
72,Goto-en,0.09,0.09,NULL,"in operation","Geothermal energy","Geothermal power",2014,33.2978,131.483,0,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Oita,ORC,NULL,NULL,NULL
73,"Beppu Spring",0.5,0.5,NULL,"in operation","Geothermal energy","Geothermal power",2014,3.29879,131.483,0,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Oita,ORC,NULL,NULL,NULL
74,Niigata,2,2,NULL,"in operation","Geothermal energy","Geothermal power",2012,37.0648,138.599,0,NULL,NULL,Niigata,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,NULL,ORC,"Ecogen Energy Systems","Wasabi Energy","Wasabi Energy"
75,Onuma,9.5,9.5,NULL,"in operation","Geothermal energy","Geothermal power",1974,39.9814,140.782,1,NULL,NULL,Akita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Akita,"Single flash",NULL,NULL,NMRC
76,Sumikawa,50,50,NULL,"in operation","Geothermal energy","Geothermal power",1995,39.9813,140.782,1,NULL,NULL,Akita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Akita,"Single flash",NULL,NULL,"Tohoku Electric Power"
77,Matsukawa,23.5,23.5,NULL,"in operation","Geothermal energy","Geothermal power",1966,39.9271,140.933,0,NULL,NULL,Akita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Iwate,"Dry steam",NULL,NULL,"Tohoku Electric Power"
78,Kakkonda,80,80,NULL,"in operation","Geothermal energy","Geothermal power",1996,39.8291,140.865,1,NULL,NULL,Akita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,3,Iwate,"Single flash",NULL,NULL,"Tohoku Electric Power"
79,Uenotai,28.8,28.8,NULL,"in operation","Geothermal energy","Geothermal power",1994,39.0012,140.604,1,NULL,NULL,Akita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Akita,"Single flash",NULL,NULL,"Tohoku Electric Power"
80,Onikobe,15,15,NULL,"in operation","Geothermal energy","Geothermal power",1975,38.8098,140.709,1,NULL,NULL,Miyagi,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Miyagi,"Single flash",NULL,NULL,J-Power
81,Yanaizu-Nishiyama,65,65,NULL,"in operation","Geothermal energy","Geothermal power",1995,37.44,139.694,1,NULL,NULL,Fukushima,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Fukushima,"Single flash",NULL,NULL,"Tohoku Electric Power"
82,Hachijojima,3.3,3.3,NULL,"in operation","Geothermal energy","Geothermal power",1999,33.1117,139.778,0,NULL,NULL,Tokyo,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,4,NULL,"Single flash","Fuji Electric Co. Ltd.",NULL,"Tokyo Electric Power"
83,Suginoi,1.9,1.9,NULL,"in operation","Geothermal energy","Geothermal power",2006,33.2832,131.476,1,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,NULL,Oita,"Single flash",NULL,NULL,"Suginoi Hotel"
84,Takigami,25,25,NULL,"in operation","Geothermal energy","Geothermal power",1996,33.2115,131.273,1,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Oita,"Single flash",NULL,NULL,"Kyushu Electric Power"
85,Otake,12.5,12.5,NULL,"in operation","Geothermal energy","Geothermal power",1967,33.1217,131.19,1,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,3,Oita,"Single flash",NULL,NULL,"Kyushu Electric Power"
86,Hatchobaru,112,112,NULL,"in operation","Geothermal energy","Geothermal power",1977,33.1053,131.187,1,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,6,Oita,Hybrid,NULL,NULL,"Kyushu Electric Power"
87,Kuju,0.99,0.99,NULL,"in operation","Geothermal energy","Geothermal power",2000,33.1092,131.22,1,NULL,NULL,Oita,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Oita,"Single flash",NULL,NULL,"Kuju Kanko Hotel"
88,Ogiri,30,30,NULL,"in operation","Geothermal energy","Geothermal power",1996,31.9318,130.798,1,NULL,NULL,Kagoshima,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,6,Kagoshima,"Single flash","Fuji Electric Co. Ltd.",NULL,"Kyushu Electric Power"
89,Yamagawa,30,30,NULL,"in operation","Geothermal energy","Geothermal power",1995,31.1908,130.614,1,NULL,NULL,Kagoshima,NULL,Japan,Asia,NULL,NULL,NULL,NULL,NULL,1,Kagoshima,"Single flash","Mitsubishi Group","Kyushu Electric Power","Kyushu Electric Power"
90,Altheim,1,1,12,"in operation","Geothermal energy","Geothermal power",2001,48.2502,13.2345,0,"Upper Austria",AT31,"West Austria",AT3,Austria,Europe,3078,104,104,70,70,1,Altheim,ORC,"Turboden S.p.A.","City of Altheim","City of Altheim"
91,"Bad Blumau",0.2,0.2,7.5,"in operation","Geothermal energy","Geothermal power",2001,47.1244,16.0434,1,Styria,AT22,"South Austria",AT2,Austria,Europe,NULL,107,107,NULL,NULL,8,"Bad Blumau",ORC,"Ormat Technologies Inc","Rogner Bad Blumau","Rogner Bad Blumau"
92,Simbach/Braunau,0.6,0.6,42.3,"in operation","Geothermal energy","Geothermal power",2001,48.2573,13.011,1,"Upper Austria",AT31,"West Austria",AT3,Austria,Europe,1950,80,80,74,74,1,"Simbach Braunau",Other,"Siemens AG",GSB,GSB
93,"Bouillante I",4,5,NULL,"in operation","Geothermal energy","Geothermal power",1986,16.1371,-61.7674,0,Guadeloupe,FRY1,"Départements d'Outre Mer",FRY,France,Europe,1200,250,260,150,150,1,Bouillante,"Dry steam","Alstom SA",BRGM/EDF,"Geothermie Bouillante S.A"
94,"Bouillante II",11,11,NULL,"in operation","Geothermal energy","Geothermal power",2003,16.1371,-61.7674,0,Guadeloupe,FRY1,"Départements d'Outre Mer",FRY,France,Europe,1200,250,260,150,150,2,Bouillante,"Dry steam","Alstom SA",BRGM/EDF,"Geothermie Bouillante S.A"
95,Soultz-sous-forets,1.5,2.1,NULL,"in operation","Geothermal energy","Geothermal power",2010,48.9353,7.86525,1,Alsace,FRF1,Alsace-Champagne-Ardenne-Lorraine,FRF,France,Europe,5000,180,200,35,35,3,Soultz,ORC,"Turboden S.p.A.",NULL,NULL
96,Bruchsal,0.44,0.55,5.5,"in operation","Geothermal energy","Geothermal power",2009,49.1252,8.5671,0,Karlsruhe,DE12,Baden-Württemberg,DE1,Germany,Europe,NULL,NULL,NULL,NULL,NULL,2,Bruchsal,Kalina,"Siemens AG","ewb & EnBW",EnBW
97,Dürrnhaar,7,5.5,NULL,"in operation","Geothermal energy","Geothermal power",2012,47.9961,11.7259,1,Oberbayern,DE21,Bavaria,DE2,Germany,Europe,3720,NULL,135,NULL,135,2,Dürrnhaar,ORC,"Turboden S.p.A.","Stadtwerke München","Stadtwerke München"
98,Oberhaching-Laufzorn,4.3,4.3,40,"in operation","Geothermal energy","Geothermal power",2014,48.02,11.5626,1,Oberbayern,DE21,Bavaria,DE2,Germany,Europe,4453,130,130,150,150,1,Oberhaching-Laufzorn,ORC,"Atlas Copco AB","Erdwärme Grünwald GmbH","Erdwärme Grünwald GmbH"
99,Traunreut,5.5,5.5,12,"in operation","Geothermal energy","Geothermal power",2016,47.9731,12.5796,1,Oberbayern,DE21,Bavaria,DE2,Germany,Europe,5412,118,118,NULL,NULL,1,Traunreut,ORC,"Turboden S.p.A.",NULL,"Geothermische Kraftwerksgesellschaft Traunreut mbH "
